Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,100nF,
"C10, C11, C12, C6",0402,4,10uF,
C3,0402,1,220nF,
"C4, C5, C8",0402,3,1uF,
C7,0402,1,2.2uF,
C9,0402,1,22uF,
"GND, GND2",SolderWirePad_1x01_SMD_1x2mm,2,GND,
J1,SolderWirePad_1x01_SMD_1x2mm,1,Breathing+,
J2,SolderWirePad_1x01_SMD_1x2mm,1,Breathing-,
"J7, J8",SolderWirePad_1x01_SMD_1x2mm,2,Conn_01x01_Pin,
L1,L0603,1,SDFL1608Q2R2KTF,C1033
"LED1, LED3",LED0603-RD,2,Blue light 0603,C2288
LED2,LED0603-RD,1,KT-0603R,C2286
R1,0402,1,2k,
R10,0402,1,10k,
"R2, R3, R4, R5, R6",0402,5,1k,
"R7, R8",0402,2,5k1,
R9,0402,1,1k5,
SW1,SW-SMD_XDMK-12C01-25,1,XDMK-12C01-25,C7498220
SWDCLK,SolderWirePad_1x01_SMD_1x2mm,1,SWDCLK,
SWDIO,SolderWirePad_1x01_SMD_1x2mm,1,SWDIO,
U1,holyIOT,1,~,
U2,SOP65P640X120-20N,1,ADS131M04IPWR,
U3,QFN-24_L4.0-W4.0-P0.50-TL-EP2.7,1,NPM1100-QDAA-R,C5816773
U4,LGA-14L_L3.0-W2.5-P0.50-TL,1,LSM6DSOXTR,C481766
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
VDD,SolderWirePad_1x01_SMD_1x2mm,1,VDD,
