Designator,Mid X,Mid Y,Rotation,Layer
C1,130.4798,-106.4006,180.0,top
C10,116.713,-97.3074,180.0,bottom
C11,118.8212,-92.202,90.0,top
C12,116.713,-96.3168,180.0,bottom
C13,113.6904,-92.7862,0.0,bottom
C14,117.5004,-94.0562,90.0,bottom
C15,113.3602,-93.1418,180.0,top
C16,113.383,-94.1324,180.0,top
C17,130.2766,-104.4448,180.0,top
C18,115.3668,-96.2406,180.0,top
C19,119.2784,-93.6498,0.0,top
C2,119.5578,-90.0684,270.0,bottom
C20,115.3668,-97.282,180.0,top
C21,113.8294,-103.953,180.0,top
C22,120.4334,-103.2418,270.0,top
C23,117.741,-101.7432,90.0,top
C24,121.1954,-105.4516,0.0,top
C25,117.233,-108.779,270.0,top
C26,121.2342,-100.1014,270.0,top
C3,113.9952,-89.2048,270.0,bottom
C4,117.348,-90.0684,90.0,bottom
C5,118.3386,-90.0684,270.0,bottom
C6,116.1542,-90.1446,90.0,bottom
C7,115.0874,-90.1446,270.0,bottom
C8,113.8428,-91.3384,180.0,bottom
C9,114.2238,-90.7796,270.0,top
L1,115.328,-101.5654,0.0,top
LED1,115.7852,-109.4776,270.0,top
LED2,109.0168,-114.2492,270.0,top
R1,121.1326,-89.5096,0.0,bottom
R10,120.9414,-106.4168,180.0,top
R11,108.9406,-111.633,90.0,top
R2,121.1326,-90.5256,0.0,bottom
R3,112.5474,-88.646,180.0,bottom
R4,112.5474,-89.6366,180.0,bottom
R5,110.2126,-90.424,0.0,top
R6,115.189,-89.2536,90.0,top
R7,134.3914,-113.6142,270.0,top
R8,122.7836,-113.6142,270.0,top
R9,120.7262,-107.5944,180.0,top
SW1,114.7318,-113.9903,180.0,top
U1,132.6602,-104.9512,270.0,top
U2,116.344,-93.6404,0.0,top
U3,137.981,-86.6938,0.0,top
U4,117.487,-105.1976,90.0,top
U5,128.879593,-102.7408,270.0,bottom
U6,123.7436,-98.9434,180.0,top
USBC1,128.5882,-111.9062,0.0,top
